name,draft_year,overall_pick,position,reason,attempted_urls_count
antonis fotsis,2000,999.0,SF,not_found_or_not_confident,14
damon reed,2000,999.0,PF-C,not_found_or_not_confident,14
jimmie hunter,2000,999.0,SG-PG,not_found_or_not_confident,14
julius doc robinson,2000,999.0,PG,not_found_or_not_confident,28
matthew nielsen,2000,999.0,PF,not_found_or_not_confident,14
michael hermon,2000,999.0,SG-PG,not_found_or_not_confident,14
ndongo n diaye,2000,999.0,C,not_found_or_not_confident,28
vassil evtimov,2000,999.0,PF,not_found_or_not_confident,14
benjamin eze,2001,999.0,C-PF,not_found_or_not_confident,14
damone thornton,2001,999.0,PF,not_found_or_not_confident,14
horace jenkins,2001,999.0,PG,not_found_or_not_confident,14
jamario moon,2001,999.0,SF,not_found_or_not_confident,14
lazaros papadopoulos,2001,999.0,C-PF,not_found_or_not_confident,14
michael hicks,2001,999.0,SG,not_found_or_not_confident,14
norman richardson,2001,999.0,SG,not_found_or_not_confident,14
robb dryden,2001,999.0,C,not_found_or_not_confident,14
tate decker,2001,999.0,SF,not_found_or_not_confident,14
israel sheinfeld,2002,999.0,PF-C,not_found_or_not_confident,14
julian sensley,2002,999.0,PF-SF,not_found_or_not_confident,14
kei madison,2002,999.0,SF,not_found_or_not_confident,14
lee benson,2002,999.0,SF-PF,not_found_or_not_confident,14
lenny cooke,2002,999.0,SG-SF,not_found_or_not_confident,14
muhammed lasege,2002,999.0,C-PF,not_found_or_not_confident,14
sylvere bryan,2002,999.0,PF,not_found_or_not_confident,14
teddy dupay,2002,999.0,PG,not_found_or_not_confident,14
uche okafor,2002,999.0,PF-C,not_found_or_not_confident,14
aleksander djuric,2003,999.0,C-PF,not_found_or_not_confident,14
donald little,2003,999.0,PF-C,not_found_or_not_confident,14
marlon parmer,2003,999.0,PG,not_found_or_not_confident,14
michael ignerski,2003,999.0,PF-SF,not_found_or_not_confident,14
pavel podkolzin,2003,999.0,C,not_found_or_not_confident,14
sani ibrahim,2003,999.0,C-PF,not_found_or_not_confident,14
sasha vujacic,2003,999.0,PG-SG,not_found_or_not_confident,14
souleymane camara,2003,999.0,PF-SF,not_found_or_not_confident,14
ugonna okyekwe,2003,999.0,SF,not_found_or_not_confident,14
wayne wallace,2003,999.0,PF,not_found_or_not_confident,14
aleksandar capin,2004,999.0,PG,not_found_or_not_confident,14
ales chan,2004,999.0,C,not_found_or_not_confident,14
blagota sekulic,2004,999.0,SF-PF,not_found_or_not_confident,14
chris garnett,2004,999.0,C-PF,not_found_or_not_confident,14
drago pasalic,2004,999.0,PF,not_found_or_not_confident,14
ivan koljevic,2004,999.0,PG,not_found_or_not_confident,14
jackie butler,2004,999.0,C,not_found_or_not_confident,14
kelvin pena,2004,999.0,SG-PG,not_found_or_not_confident,14
marko tomas,2004,999.0,SG-PG,not_found_or_not_confident,14
misan nikagbatse,2004,999.0,SG-PG,not_found_or_not_confident,14
omar quintero,2004,999.0,PG,not_found_or_not_confident,14
randall orr,2004,999.0,PF-SF,not_found_or_not_confident,14
rich melzer,2004,999.0,PF-SF,not_found_or_not_confident,14
tiago splitter,2004,999.0,C-PF,not_found_or_not_confident,14
tim bowers,2004,999.0,PG-SG,not_found_or_not_confident,14
tom timmerrmans,2004,999.0,PF-C,not_found_or_not_confident,14
brandon rush,2005,999.0,SG-SF,not_found_or_not_confident,14
charles hayes,2005,999.0,SF-PF,not_found_or_not_confident,14
d or fischer,2005,999.0,C-PF,not_found_or_not_confident,28
daryl dorsey,2005,999.0,PG,not_found_or_not_confident,14
deji akindele,2005,999.0,C-PF,not_found_or_not_confident,14
drago pasalic,2005,999.0,SF-PF,not_found_or_not_confident,14
larry o bannon,2005,999.0,SG,not_found_or_not_confident,28
nemanja aleksandrov,2005,999.0,PF-SF,not_found_or_not_confident,14
rudy fernandez,2005,999.0,SG,not_found_or_not_confident,14
danilo pinnock,2006,999.0,PG-SG,not_found_or_not_confident,14
frans steyn,2006,999.0,C,not_found_or_not_confident,14
lou amundson,2006,999.0,PF,not_found_or_not_confident,14
michael southhall,2006,999.0,C,not_found_or_not_confident,14
tedric hill,2006,999.0,SF-PF,not_found_or_not_confident,14
viktor keyru,2006,999.0,SG-PG,not_found_or_not_confident,14
ali traore,2007,999.0,C-PF,not_found_or_not_confident,14
avis wyatt,2007,999.0,PF,not_found_or_not_confident,14
major wingate,2007,999.0,C,not_found_or_not_confident,14
marko lekic,2007,999.0,C,not_found_or_not_confident,14
reynolds,2007,999.0,PG,not_found_or_not_confident,14
