name,model_group,espn_group
aday mara,picks_15_30,picks_6_14
billy richmond,picks_15_30,second_round
christian anderson,picks_15_30,picks_15_30
christopher brown,picks_15_30,picks_6_14
christopher cenac,picks_15_30,picks_15_30
dailyn swain,picks_15_30,picks_15_30
flory bidunga,picks_15_30,second_round
isaiah evans,picks_15_30,picks_15_30
jacob cofie,picks_15_30,undrafted
labaron philon,picks_15_30,picks_6_14
malachi moreno,picks_15_30,second_round
meleek thomas,picks_15_30,picks_15_30
morez johnson,picks_15_30,picks_15_30
tounde yessoufou,picks_15_30,second_round
tyler tanner,picks_15_30,second_round
zuby ejiofor,picks_15_30,picks_15_30
amari allen,picks_6_14,second_round
anicet dybantsa,picks_6_14,top_5
brayden burries,picks_6_14,picks_6_14
darius acuff,picks_6_14,picks_6_14
darryn peterson,picks_6_14,top_5
ebuka okorie,picks_6_14,picks_15_30
hannes steinbach,picks_6_14,picks_15_30
koa peat,picks_6_14,picks_15_30
nathaniel ament,picks_6_14,picks_6_14
alex karaban,second_round,second_round
baba miller,second_round,second_round
bennett stirtz,second_round,picks_15_30
braden smith,second_round,second_round
bruce thornton,second_round,second_round
bryce hopkins,second_round,undrafted
cameron carr,second_round,picks_15_30
dillon mitchell,second_round,undrafted
henri veesaar,second_round,picks_15_30
izaiyah nelson,second_round,second_round
ja kobi gillespie,second_round,second_round
jaden harris,second_round,undrafted
jayden quaintance,second_round,picks_15_30
jeremy fears,second_round,second_round
joshua jefferson,second_round,picks_15_30
keyshawn hall,second_round,undrafted
kylan boswell,second_round,second_round
maliq brown,second_round,undrafted
matthew able,second_round,second_round
milan momcilovic,second_round,second_round
nicholas boyd,second_round,undrafted
nick martinelli,second_round,second_round
rafael castro,second_round,undrafted
richie saunders,second_round,second_round
rueben chinyelu,second_round,second_round
tarris reed,second_round,second_round
tobe awaka,second_round,undrafted
trevon brazile,second_round,second_round
ugonna onyenso,second_round,second_round
yaxel lendeborg,second_round,picks_6_14
allen graves,top_5,picks_15_30
caleb wilson,top_5,top_5
cameron boozer,top_5,top_5
keaton wagler,top_5,top_5
kingston flemings,top_5,picks_6_14
aaron nkrumah,undrafted,undrafted
andrej stojakovic,undrafted,second_round
emanuel sharp,undrafted,second_round
felix okpara,undrafted,second_round
jaden bradley,undrafted,second_round
john blackwell,undrafted,undrafted
milos uzan,undrafted,undrafted
otega oweh,undrafted,undrafted
peter suder,undrafted,undrafted
ryan conwell,undrafted,second_round
tobi lawal,undrafted,undrafted
trey kaufman renn,undrafted,undrafted
tyler bilodeau,undrafted,undrafted
tyler nickel,undrafted,undrafted
